---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_6,"If Trigger","None","","!=","10","0","4","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Gekomon","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""F5D099354326C61852F698BE37730F59"", ""Well... no, nothing. Ribbit."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"If Trigger","None","","!=","96","0","2","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Gekomon","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""9007163D41DE23F53A14D791DF094BF0"", ""Excuse me... I want to go to the city. Ribbit!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""BA718C4B4732F43D3154B787E722B96D"", ""Ok, but what happened?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Gekomon","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""2BA7E96046B008F8DF484A973C04CB07"", ""I wanna fight at the Arena. It seems like we, the Gekomon Tribe,"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Gekomon","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""511300C5492904BC0CF24D8D7E713ECE"", ""Are looked down upon as country Digimon. Ribbit."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Gekomon","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""A2843E1E4ED73505943DBB98C0C18EE2"", ""Yeah, we\'re from the country, but we have our pride too!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""8C4F9B9A4427AD51A83EBCA233C2E306"", ""I see how you feel. Then, try it. Good luck!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","None","NSLOCTEXT(""[8A602A1B4757E3E351BE1386307262A9]"", ""4FF290C4452D8723096B62A0AB9A9499"", ""Gekomon joined the Arena!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Set Trigger","None","","!=","0","96","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
